"","ASV","YSI","rASV","rYSI","means"
"0005441006",0.860816814889339,596,526,70,257.632740304476
"0005441018",0.943967574215422,855,600,255,253.318466788043
"0005441020",0.926267968481378,1317,588,729,246.90221823107
"0005441029",0.731858734401893,501,409,92,256.786995140182
"0005441030",1.3351282359573,1491,957,534,249.590546178386
"0005841003",0.84765881956884,1115,514,601,248.668749526128
"0005841016",0.496747616395069,432,221,211,254.009253143662
"0005841023",2.17083041668633,1673,1353,320,252.277091547547
"0005841038",1.55195113369117,2612,1103,1509,224.019079049478
"0011021002",2.16613643012277,1809,1352,457,250.419023501383
"0011021021",2.06727622808035,1659,1321,338,251.909273770239
"0011021044",1.60622166417363,1276,1141,135,255.571460016835
"0011021048",1.68356921686589,2272,1181,1091,241.768907384861
"0012521012",0.977622366782772,987,632,355,251.583399307686
"0012521013",0.691731894993041,1420,374,1046,242.446992341196
"0012521028",1.00242450129148,1495,656,839,245.456736609284
"0012521040",0.106151179020485,795,12,783,246.207794861937
"0012521047",1.4058475619075,1287,1015,272,253.099465104517
"0013921059",0.347354058252755,1656,114,1542,218.230773205367
"0013921061",1.0632164274131,2275,711,1564,212.70571621149
"0013921065",1.23040915320546,1945,867,1078,241.979308037735
"0013921090",0.956686606615352,789,609,180,254.577334052008
"0015621007",1.84249985296196,2822,1244,1578,207.195969112417
"0015621013",1.57535191357024,2719,1122,1597,181.445602767386
"0015721003",1.32534771770884,2124,953,1171,240.468226341675
"0015721012",1.47051227876687,2360,1050,1310,237.318158126012
"0015721032",1.33688930057747,2100,958,1142,240.781325674594
"0015721034",0.531968316961087,962,253,709,247.134860687382
"0015721058",1.07281282510109,1976,714,1262,238.533215110141
"0016321020",1.62375605695607,2103,1153,950,243.808122151221
"0016321021",0.170786301896569,1156,30,1126,241.07768776775
"0016321028",1.47814265618533,2450,1056,1394,234.554234596071
"0016321032",1.70445068310395,1490,1199,291,252.805066735941
"0017121001",0.609407962758554,1331,315,1016,242.872254393736
"0017121002",0.175503842595084,1111,35,1076,242.002517778862
"0017121015",0.785847573763473,1738,454,1284,238.125328214561
"0017121025",0.752363672478582,1863,425,1438,232.241070044628
"0017121040",0.717672014700127,958,402,556,249.248914739782
"0018921002",0.446050966188506,821,183,638,248.20576650201
"0018921005",1.65568809699605,2172,1169,1003,243.074412755662
"0018921008",0.73610762722766,1978,412,1566,211.884168469012
"0018921012",0.332904107033215,151,106,45,258.786605215979
"0018921020",0.626012880526386,1478,328,1150,240.686733763357
"0019121010",0.795519459893917,1834,463,1371,235.5659343606
"0019121055",1.20702146707926,2076,843,1233,239.152841106626
"0019121056",1.33885108408146,2431,960,1471,228.770732495252
"0019121066",1.26407565010866,2006,896,1110,241.372189811936
"0019121067",1.19486646033326,2104,836,1268,238.491701115453
"0021921022",1.15220761136414,2318,802,1516,223.453015980425
"0021921031",3.19230016065781,2009,1563,446,250.521128805042
"0021921044",0.37241555094438,157,130,27,259.778414018285
"0021921046",1.77581339492116,2778,1228,1550,217.28125408707
"0023921002",0.812116260136841,1612,480,1132,240.984407155459
"0023921031",0.957157060301148,909,610,299,252.729278275942
"0023921033",0.351065947475281,1079,118,961,243.688151953188
"0023921041",0.509766197483091,1220,233,987,243.251417766082
"0025621014",0.529141055376225,960,250,710,247.108343531672
"0025621025",1.60578968992743,2445,1140,1305,237.498394658016
"0025621031",0.905675106295842,618,569,49,258.62594494261
"0025621049",0.653027744322377,1052,348,704,247.271744545786
"0025621064",0.637494531964244,820,338,482,250.136548999048
"0028421003",0.239309688139238,819,60,759,246.536757027116
"0028421008",2.78249864996406,1630,1496,134,255.587284731426
"0028421019",0.742244316596239,1568,417,1151,240.683785366877
"0028421026",0.729367078145206,786,408,378,251.257642695092
"0028421027",1.99390260199085,1320,1297,23,260.06559407565
"0030221007",1.27782226606666,2461,907,1554,215.408796233286
"0030221020",2.65653055996226,2950,1472,1478,227.815968190968
"0030221034",0.776923159341851,1844,445,1399,234.416274969066
"0030221035",1.98554297033945,2209,1295,914,244.304412006989
"0030221036",1.32187267775877,2185,950,1235,239.105228011393
"0034441004",2.50464716063042,1438,1437,1,265.605092261905
"0034441008",2.92612152775137,1580,1525,55,258.443367836448
"0034441036",1.30670178777385,994,935,59,258.218606114778
"0034441069",5.05001471341159,1668,1603,65,257.88260726701
"0034441076",2.64558551991599,1708,1468,240,253.481092259161
"0035541003",0.826847247746348,1606,490,1116,241.219439210688
"0035541007",1.19314258352095,2185,833,1352,236.262943341173
"0035541010",2.09900013449923,2809,1332,1477,227.855873867393
"0035541015",0.792596019160728,1545,460,1085,241.891774830286
"0035541018",1.10369001650872,2281,753,1528,220.756809576435
"0040041022",1.44615508650875,1689,1036,653,248.022914078413
"0040041041",0.2000559710936,1346,46,1300,237.739212358833
"0040041063",1.01324318312748,701,666,35,259.273423388995
"0040841015",0.959423080623704,876,614,262,253.273992007003
"0040841034",2.41481686674061,1766,1414,352,251.70829604828
"0040841041",3.36606175427609,1715,1570,145,255.391961238613
